name,pubCode,description,startDate,endDate
"aquaticSiteType","lake","lake",2012-01-01T00:00:00Z,
"aquaticSiteType","stream","stream",2012-01-01T00:00:00Z,
"aquaticSiteType","river","river",2012-01-01T00:00:00Z,
"biophysicalCriteria","OK - no known exceptions","Sampling occurred on schedule, no known issues",2012-01-01T00:00:00Z,
"biophysicalCriteria","OK - schedule change but conditions met","Sampling occurred not within defined sampling window but reflects the target biophysical conditions",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met","Sampling does not reflect the target biophysical conditions",2012-01-01T00:00:00Z,
"biophysicalCriteria","other","Other potential sample timing inconsistencies described in the remarks",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: most plants senesced","Sampling does not reflect the target biophysical conditions, most plants senesced",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: most plants not yet flowering","Sampling does not reflect the target biophysical conditions, most plants not yet in flower",2012-01-01T00:00:00Z,
"biophysicalCriteria","unknown - logistical","Sampling not possible due to logistical considerations",2012-01-01T00:00:00Z,
"biophysicalCriteria","drought conditions","Sampling does not reflect the target biophysical conditions, abundance and composition of flora is drought compromised",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: drought conditions","Sampling does not reflect the target biophysical conditions, abundance and composition of flora is drought compromised",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met - no photo taken","Conditions at photo point do not support image collection (e.g., localized flooding)",2012-01-01T00:00:00Z,
"biophysicalCriteria","date outside peak green","Sample collected outside of prescribed peak green window",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: sampled after fish","Sampling does not reflect the target biophysical conditions, benthic sampling occurred after benthos was disturbed during seasonal fish sampling",2012-01-01T00:00:00Z,
"biophysicalCriteria","conditions not met: outside bout window","Sampling or data collection does not reflect the target biophysical conditions that indicate seasonality, including temperature, flow regime, and riparian greenness",2012-01-01T00:00:00Z,
"biophysicalCriteria","Qualifying material < 50% of plot area, sampling criteria not met","Herbaceous vegetation at the plot is not of sufficient cover to merit sampling",2012-01-01T00:00:00Z,
"biophysicalCriteria","plot disturbance","Sampling occurred and there is evidence the plot was disturbed after the prior sampling event, specific disturbance described in remarks",2012-01-01T00:00:00Z,
"biophysicalCriteria","OK - within bout window","Sampling or data collection reflects the target biophysical conditions that indicate seasonality, including temperature, flow regime, and riparian greenness",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","cf. species","cf. species",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","aff. species","aff. species",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","cf. genus","cf. genus",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","aff. genus","aff. genus",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","cf. subspecies","cf. subspecies",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","aff. subspecies","aff. subspecies",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","cf. family","cf. family",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","aff. family","aff. family",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","cf. variety","cf. variety",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","aff. variety","aff. variety",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","sp. nov.","sp. nov.",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","spp. nr.","spp. nr.",2012-01-01T00:00:00Z,
"identificationQualifiersExpert","sp. nr.","sp. nr.",2012-01-01T00:00:00Z,
"identificationRemarks","Nomenclatural adjustment","The determination has been updated because of a change in the taxonomic concept",2012-01-01T00:00:00Z,
"identificationRemarks","Determination updated by expert","A taxonomic expert has indicated that this determination should be updated",2012-01-01T00:00:00Z,
"identificationRemarks","Out of geographic range","The geographic range of the taxon in this determination does not include the location where this observation was made",2012-01-01T00:00:00Z,
"identificationRemarks","Out of phenotypic range","Measurement of one or more phenotypic traits of the specimen suggest the determination should be updated",2012-01-01T00:00:00Z,
"identificationRemarks","BOLD mismatch","BOLD data suggest this determination should be updated",2012-01-01T00:00:00Z,
"identificationRemarks","Transcription error","There was a data entry error and this determination needed to be corrected",2012-01-01T00:00:00Z,
"identificationRemarks","Field determination error","Field determination error",2012-01-01T00:00:00Z,
"identificationRemarks","Other - see remarks","Other - see remarks",2012-01-01T00:00:00Z,
"identificationRemarks","Genetic analysis","Taxonomic identity was determined by genetic analysis (e.g., PCR)",2012-01-01T00:00:00Z,
"inv.archiveLabSampleMedium","slide","permanent glass slide",2012-01-01T00:00:00Z,
"inv.archiveLabSampleMedium","vial, ethanol","95% ethanol in vial",2012-01-01T00:00:00Z,
"inv.archiveLabSampleMedium","photo","digital photo",2012-01-01T00:00:00Z,
"inv.fieldSampleCondition","OK","Sample condition ok",2012-01-01T00:00:00Z,
"inv.fieldSampleCondition","sample leaking but still analyzable","Sample leaking but still analyzable",2012-01-01T00:00:00Z,
"inv.fieldSampleCondition","sample preserved late but still analyzable","Sample preserved late but still analyzable",2012-01-01T00:00:00Z,
"inv.fieldSampleCondition","other","Other (specified in remarks)",2012-01-01T00:00:00Z,
"samplingImpractical","location dry","location dry",2012-01-01T00:00:00Z,
"samplingImpractical","location frozen","location frozen",2012-01-01T00:00:00Z,
"samplingImpractical","location snow covered","location snow covered",2012-01-01T00:00:00Z,
"samplingImpractical","other","Sampling location inaccessible due to other ecological reason described in the remarks",2012-01-01T00:00:00Z,
"samplingImpractical","shallow groundwater","shallow groundwater; depth of groundwater column less than 0.5 m",2012-01-01T00:00:00Z,
"samplingImpractical","low yield groundwater","low yield groundwater well",2012-01-01T00:00:00Z,
"samplingImpractical","high water velocity","high water velocity",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01T00:00:00Z,
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01T00:00:00Z,
"samplingImpractical","OK","OK",2012-01-01T00:00:00Z,
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01T00:00:00Z,
"samplingImpractical","location flooded","location flooded",2012-01-01T00:00:00Z,
"samplingImpractical","logistical","logistical",2012-01-01T00:00:00Z,
"samplingImpractical","management","management",2012-01-01T00:00:00Z,
"samplingImpractical","extreme weather","extreme weather",2012-01-01T00:00:00Z,
"samplingImpractical","location burned","location burned",2012-01-01T00:00:00Z,
"samplingImpractical","temperature low","temperature low",2012-01-01T00:00:00Z,
"samplingImpractical","temperature high","temperature high",2012-01-01T00:00:00Z,
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01T00:00:00Z,
"samplingImpractical","too windy","too windy",2012-01-01T00:00:00Z,
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01T00:00:00Z,
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01T00:00:00Z,
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01T00:00:00Z,2022-12-31T00:00:00Z
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01T00:00:00Z,
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01T00:00:00Z,
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01T00:00:00Z,
"samplingImpractical","safety hazard","unsafe conditions at sampling location or on route to sampling location",2012-01-01T00:00:00Z,
"samplingImpractical","outside target flow range","selected when stream flow already has good coverage and specific flows are being targeted",2022-03-01T00:00:00Z,
"samplingImpractical","onshore protocols only","sampling not required when only onshore protocols are scheduled",2012-01-01T00:00:00Z,
"samplingImpractical","night fishing","sampling not required when night fishing",2012-01-01T00:00:00Z,
"samplingImpractical","obstruction","sample not collected due to an obstruction in sampling area",2012-01-01T00:00:00Z,
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
"zoo.sampleCondition","condition OK","condition OK",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting taxonomy","damaged, affecting taxonomy",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting measurement","damaged, affecting measurement",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting taxonomy and measurement","damaged, affecting taxonomy and measurement",2012-01-01T00:00:00Z,
"zoo.sampleCondition","sample leakage","sample leakage",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting taxonomy","damaged, affecting taxonomy",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting measurement","damaged, affecting measurement",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting taxonomy and measurement","damaged, affecting taxonomy and measurement",2012-01-01T00:00:00Z,
"zoo.sampleCondition","sample leakage","sample leakage",2012-01-01T00:00:00Z,
"zoo.sampleCondition","other (specified in remarks)","other (specified in remarks)",2012-01-01T00:00:00Z,
"zoo.sampleCondition","damaged, affecting analysis","damaged, affecting analysis",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"zoo.sampleCondition","damaged, affecting taxonomy","damaged, affecting taxonomy",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"zoo.sampleCondition","damaged, affecting measurement","damaged, affecting measurement",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"zoo.sampleCondition","damaged, affecting taxonomy and measurement","damaged, affecting taxonomy and measurement",2012-01-01T00:00:00Z,2018-03-30T00:00:00Z
"zoo.samplerType","tow net","Vertical tow net with 64 um mesh",2012-01-01T00:00:00Z,
"zoo.samplerType","Schindler-Patalas","Schindler-Patalas trap, plexiglass with 64 um mesh",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vA","NEON.DOC.001194vA",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vB","NEON.DOC.001194vB",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vC","NEON.DOC.001194vC",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vD","NEON.DOC.001194vD",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vE","NEON.DOC.001194vE",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vF","NEON.DOC.001194vF",2012-01-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vG","NEON.DOC.001194vG",2017-12-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vH","NEON.DOC.001194vH",2018-11-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vJ","NEON.DOC.001194vJ",2018-11-01T00:00:00Z,
"zoo.samplingProtocolVersion","NEON.DOC.001194vK","NEON.DOC.001194vK",2022-01-01T00:00:00Z,
"zoo.subsampleFractionType","coarse","coarse = crustacean",2012-01-01T00:00:00Z,
"zoo.subsampleFractionType","fine","fine = rotifer",2012-01-01T00:00:00Z,
"zoo.subsampleFractionType","none","subsample not split by size",2012-01-01T00:00:00Z,
"zoo.taxonDatabaseName","ITIS","Integrated Taxonomic Information System (itis.gov)",2012-01-01T00:00:00Z,
"zoo.taxonDatabaseName","other (specified in remarks)","other (specified in remarks)",2012-01-01T00:00:00Z,
"zoo.testProtocolVersion","EcoAnalysts STANDARD OPERATING PROCEDURES - ZOOPLANKTON","EcoAnalysts STANDARD OPERATING PROCEDURES - ZOOPLANKTON",2012-01-01T00:00:00Z,2017-01-01T00:00:00Z
"zoo.testProtocolVersion","Zooplankton_SOP_WatersEdge Scientific","Zooplankton_SOP_WatersEdge Scientific",2012-01-01T00:00:00Z,2017-02-01T00:00:00Z
"zoo.testProtocolVersion","Draft GEI SOP for NEON Zooplankton Identification v13","Draft GEI SOP for NEON Zooplankton Identification v13",2012-01-01T00:00:00Z,2017-02-01T00:00:00Z
"zoo.testProtocolVersion","GEI_Zooplankton_Identification_Revision5","GEI_Zooplankton_Identification_Revision5",2012-01-01T00:00:00Z,2017-01-01T00:00:00Z
"zoo.testProtocolVersion","ECOANALYSTS_Zooplankton_Identification_Revision2","ECOANALYSTS_Zooplankton_Identification_Revision2",2012-01-01T00:00:00Z,2020-08-31T00:00:00Z
"zoo.testProtocolVersion","RHITHRON_Zooplankton_Identification_Revision1","RHITHRON_Zooplankton_Identification_Revision1",2012-01-01T00:00:00Z,
"zoo.testProtocolVersion","ECOANALYSTS_Zooplankton_Identification_Revision3","ECOANALYSTS_Zooplankton_Identification_Revision3",2020-07-01T00:00:00Z,
