,sampleID,siteID_x,year,count
0,BARC.20170207.SCHINDLER.3,BARC,2017,0.0
1,BARC.20171031.SCHINDLER.2,BARC,2017,2.0
2,BARC.20190215.TOWNET.1,BARC,2019,4.0
3,BARC.20190215.TOWNET.2,BARC,2019,0.0
4,BARC.20190215.TOWNET.3,BARC,2019,0.0
5,BARC.20200211.SCHINDLER.3,BARC,2020,0.0
6,BARC.20200211.TOWNET.1,BARC,2020,6.0
7,BARC.20200706.TOWNET.3,BARC,2020,0.0
8,BARC.20220216.SCHINDLER.3,BARC,2022,2.0
9,BARC.20220216.TOWNET.1,BARC,2022,42.0
10,CRAM.20150713.SCHINDLERPATALAS.2,CRAM,2015,0.0
11,CRAM.20150713.TOWNET.3,CRAM,2015,0.0
12,CRAM.20150914.SCHINDLERPATALAS.1,CRAM,2015,0.0
13,CRAM.20150914.SCHINDLERPATALAS.2,CRAM,2015,0.0
14,CRAM.20150914.TOWNET.3,CRAM,2015,0.0
15,CRAM.20160429.TOWNET.3,CRAM,2016,0.0
16,CRAM.20160919.TOWNET.1,CRAM,2016,0.0
17,CRAM.20170717.TOWNET.3,CRAM,2017,1.0
18,CRAM.20180716.TOWNET.1,CRAM,2018,0.0
19,CRAM.20190711.TOWNET.1,CRAM,2019,0.0
20,CRAM.20200928.TOWNET.1,CRAM,2020,0.0
21,CRAM.20210927.TOWNET.1,CRAM,2021,0.0
22,LIRO.20170424.SCHINDLER.2,LIRO,2017,1.0
23,LIRO.20170719.TOWNET.3,LIRO,2017,0.0
24,LIRO.20170906.SCHINDLER.1,LIRO,2017,1.0
25,LIRO.20170906.TOWNET.3,LIRO,2017,4.0
26,LIRO.20180730.SCHINDLER.2,LIRO,2018,35.0
27,LIRO.20180730.SCHINDLER.3,LIRO,2018,6.0
28,LIRO.20180730.TOWNET.1,LIRO,2018,5.0
29,LIRO.20180910.TOWNET.1,LIRO,2018,4.0
30,LIRO.20190724.SCHINDLER.2,LIRO,2019,0.0
31,LIRO.20190724.SCHINDLER.3,LIRO,2019,1.0
32,LIRO.20190724.TOWNET.1,LIRO,2019,0.0
33,LIRO.20190910.SCHINDLER.3,LIRO,2019,0.0
34,LIRO.20190910.TOWNET.1,LIRO,2019,0.0
35,LIRO.20200722.SCHINDLER.2,LIRO,2020,9.0
36,LIRO.20200722.SCHINDLER.3,LIRO,2020,0.0
37,LIRO.20200722.TOWNET.1,LIRO,2020,1.0
38,LIRO.20200910.SCHINDLER.2,LIRO,2020,0.0
39,LIRO.20200910.SCHINDLER.3,LIRO,2020,0.0
40,LIRO.20200910.TOWNET.1,LIRO,2020,2.0
41,LIRO.20210414.TOWNET.1,LIRO,2021,0.0
42,LIRO.20210721.SCHINDLER.3,LIRO,2021,3.0
43,LIRO.20210721.TOWNET.1,LIRO,2021,2.0
44,LIRO.20210909.SCHINDLER.2,LIRO,2021,12.0
45,LIRO.20210909.SCHINDLER.3,LIRO,2021,14.0
46,LIRO.20210909.TOWNET.1,LIRO,2021,6.0
47,LIRO.20220516.SCHINDLER.2,LIRO,2022,4.0
48,LIRO.20220516.TOWNET.1,LIRO,2022,0.0
49,PRLA.20140709.SCHINDLER.INLET2,PRLA,2014,1.0
50,PRLA.20140709.SCHINDLER.OUTLET1,PRLA,2014,0.0
51,PRLA.20140709.TOWNET.DEEPEST1,PRLA,2014,0.0
52,PRLA.20140709.TOWNET.DEEPEST2,PRLA,2014,0.0
53,PRLA.20140925.SCHINDLER.1,PRLA,2014,0.0
54,PRLA.20140925.SCHINDLER.2,PRLA,2014,1.0
55,PRLA.20140925.TOW.3,PRLA,2014,0.0
56,PRLA.20150720.SCHINDLER.1,PRLA,2015,5.0
57,PRLA.20150720.SCHINDLER.2,PRLA,2015,10.0
58,PRLA.20150720.SCHINDLER.3,PRLA,2015,360.0
59,PRLA.20160914.SCHINDLER.2,PRLA,2016,1.0
60,PRLA.20170710.SCHINDLER.1,PRLA,2017,513.0
61,PRLA.20170710.SCHINDLER.2,PRLA,2017,29.0
62,PRLA.20170710.SCHINDLER.3,PRLA,2017,256.0
63,PRLA.20180911.SCHINDLER.1,PRLA,2018,2.0
64,PRLA.20180911.SCHINDLER.2,PRLA,2018,2.0
65,PRLA.20180911.SCHINDLER.3,PRLA,2018,6.0
66,PRLA.20190424.SCHINDLER.1,PRLA,2019,0.0
67,PRLA.20190711.SCHINDLER.1,PRLA,2019,42.0
68,PRLA.20190711.SCHINDLER.2,PRLA,2019,60.0
69,PRLA.20190711.SCHINDLER.3,PRLA,2019,16.0
70,PRLA.20190910.SCHINDLER.1,PRLA,2019,16.0
71,PRLA.20190910.SCHINDLER.2,PRLA,2019,82.0
72,PRLA.20190910.SCHINDLER.3,PRLA,2019,37.0
73,PRLA.20200615.SCHINDLER.1,PRLA,2020,28.0
74,PRLA.20200615.SCHINDLER.2,PRLA,2020,16.0
75,PRLA.20200615.SCHINDLER.3,PRLA,2020,44.0
76,PRLA.20210713.SCHINDLER.3,PRLA,2021,1.0
77,PRLA.20210914.SCHINDLER.2,PRLA,2021,28.0
78,PRLA.20210914.SCHINDLER.3,PRLA,2021,27.0
79,PRPO.20140708.SCHINDLER.INLET1,PRPO,2014,0.0
80,PRPO.20140708.SCHINDLER.INLET2,PRPO,2014,2.0
81,PRPO.20140708.SCHINDLER.OUTLET1,PRPO,2014,1.0
82,PRPO.20140708.TOWNET.DEEPEST2,PRPO,2014,0.0
83,PRPO.20140923.SCHINDLER.1,PRPO,2014,1.0
84,PRPO.20140923.SCHINDLER.2,PRPO,2014,1.0
85,PRPO.20140923.TOW.3,PRPO,2014,0.0
86,PRPO.20150706.SCHINDLER.1,PRPO,2015,15.0
87,PRPO.20150706.SCHINDLER.2,PRPO,2015,9.0
88,PRPO.20150706.SCHINDLER.3,PRPO,2015,3.0
89,PRPO.20150914.SCHINDLER.1,PRPO,2015,113.0
90,PRPO.20150914.SCHINDLER.2,PRPO,2015,125.0
91,PRPO.20150914.SCHINDLER.3,PRPO,2015,33.0
92,PRPO.20160426.SCHINDLER.1,PRPO,2016,42.0
93,PRPO.20160426.SCHINDLER.2,PRPO,2016,78.0
94,PRPO.20160426.SCHINDLER.3,PRPO,2016,33.0
95,PRPO.20160707.SCHINDLER.1,PRPO,2016,87.0
96,PRPO.20160707.SCHINDLER.2,PRPO,2016,52.0
97,PRPO.20160707.SCHINDLER.3,PRPO,2016,152.0
98,PRPO.20170717.SCHINDLER.1,PRPO,2017,146.0
99,PRPO.20170717.SCHINDLER.3,PRPO,2017,268.0
100,PRPO.20170918.SCHINDLER.1,PRPO,2017,5.0
101,PRPO.20170918.SCHINDLER.3,PRPO,2017,6.0
102,PRPO.20180716.SCHINDLER.3,PRPO,2018,9.0
103,PRPO.20180917.SCHINDLER.1,PRPO,2018,12.0
104,PRPO.20180917.SCHINDLER.3,PRPO,2018,21.0
105,PRPO.20190715.SCHINDLER.1,PRPO,2019,169.0
106,PRPO.20190715.SCHINDLER.2,PRPO,2019,841.0
107,PRPO.20190715.SCHINDLER.3,PRPO,2019,539.0
108,PRPO.20190919.SCHINDLER.1,PRPO,2019,352.0
109,PRPO.20190919.SCHINDLER.2,PRPO,2019,394.0
110,PRPO.20190919.SCHINDLER.3,PRPO,2019,150.0
111,PRPO.20200622.SCHINDLER.1,PRPO,2020,22.0
112,PRPO.20200622.SCHINDLER.2,PRPO,2020,32.0
113,PRPO.20200622.SCHINDLER.3,PRPO,2020,32.0
114,PRPO.20200713.SCHINDLER.1,PRPO,2020,7.0
115,PRPO.20200713.SCHINDLER.2,PRPO,2020,20.0
116,PRPO.20200713.SCHINDLER.3,PRPO,2020,13.0
117,PRPO.20210715.SCHINDLER.2,PRPO,2021,0.0
118,SUGG.20150218.SCHINDLER.1,SUGG,2015,0.0
119,SUGG.20150218.SCHINDLER.2,SUGG,2015,6.0
120,SUGG.20150708.SCHINDLER.1,SUGG,2015,0.0
121,SUGG.20150708.SCHINDLER.2,SUGG,2015,0.0
122,SUGG.20150708.SCHINDLER.3,SUGG,2015,0.0
123,SUGG.20151110.SCHINDLER.1,SUGG,2015,4.0
124,SUGG.20151110.SCHINDLER.2,SUGG,2015,2.0
125,SUGG.20151110.SCHINDLER.3,SUGG,2015,1.0
126,SUGG.20160212.SCHINDLER.1,SUGG,2016,0.0
127,SUGG.20160212.SCHINDLER.2,SUGG,2016,1.0
128,SUGG.20160212.SCHINDLER.3,SUGG,2016,1.0
129,SUGG.20160705.SCHINDLERPATALAS.1,SUGG,2016,31.0
130,SUGG.20160705.SCHINDLERPATALAS.2,SUGG,2016,0.0
131,SUGG.20160705.SCHINDLERPATALAS.3,SUGG,2016,0.0
132,SUGG.20161031.SCHINDLER.1,SUGG,2016,4.0
133,SUGG.20170209.SCHINDLER.1,SUGG,2017,11.0
134,SUGG.20170209.SCHINDLER.2,SUGG,2017,4.0
135,SUGG.20170209.SCHINDLER.3,SUGG,2017,8.0
136,SUGG.20170629.SCHINDLER.1,SUGG,2017,166.0
137,SUGG.20170629.SCHINDLER.2,SUGG,2017,7.0
138,SUGG.20170629.SCHINDLER.3,SUGG,2017,113.0
139,SUGG.20171103.SCHINDLER.1,SUGG,2017,398.0
140,SUGG.20171103.SCHINDLER.2,SUGG,2017,216.0
141,SUGG.20171103.SCHINDLER.3,SUGG,2017,170.0
142,SUGG.20180212.SCHINDLER-PATALAS.1,SUGG,2018,325.0
143,SUGG.20180212.SCHINDLER-PATALAS.2,SUGG,2018,40.0
144,SUGG.20180212.SCHINDLER-PATALAS.3,SUGG,2018,299.0
145,SUGG.20180702.SCHINDLER.1,SUGG,2018,490.0
146,SUGG.20180702.SCHINDLER.2,SUGG,2018,226.0
147,SUGG.20180702.SCHINDLER.3,SUGG,2018,112.0
148,SUGG.20181029.SCHINDLER.1,SUGG,2018,2.0
149,SUGG.20181029.SCHINDLER.2,SUGG,2018,4.0
150,SUGG.20181029.SCHINDLER.3,SUGG,2018,12.0
151,SUGG.20190214.SCHINDLER.1,SUGG,2019,2.0
152,SUGG.20190214.SCHINDLER.2,SUGG,2019,7.0
153,SUGG.20190214.SCHINDLER.3,SUGG,2019,23.0
154,SUGG.20190701.SCHINDLER.1,SUGG,2019,0.0
155,SUGG.20190701.SCHINDLER.3,SUGG,2019,5.0
156,SUGG.20191028.SCHINDLER.1,SUGG,2019,20.0
157,SUGG.20191028.SCHINDLER.2,SUGG,2019,6.0
158,SUGG.20191028.SCHINDLER.3,SUGG,2019,11.0
159,SUGG.20200210.SCHINDLER.1,SUGG,2020,0.0
160,SUGG.20200210.SCHINDLER.2,SUGG,2020,0.0
161,SUGG.20200210.SCHINDLER.3,SUGG,2020,0.0
162,SUGG.20201028.SCHINDLER.1,SUGG,2020,1.0
163,SUGG.20210211.SCHINDLER.1,SUGG,2021,13.0
164,SUGG.20210211.SCHINDLER.3,SUGG,2021,1.0
165,SUGG.20210630.SCHINDLER.1,SUGG,2021,3.0
166,SUGG.20210630.SCHINDLER.2,SUGG,2021,4.0
167,SUGG.20220214.SCHINDLER.1,SUGG,2022,264.0
168,SUGG.20220214.SCHINDLER.2,SUGG,2022,120.0
169,SUGG.20220214.SCHINDLER.3,SUGG,2022,229.0
170,TOOK.20160810.TOW.1,TOOK,2016,0.0
171,TOOK.20180627.SCHINDLER.2,TOOK,2018,1.0
172,TOOK.20180627.SCHINDLER.3,TOOK,2018,0.0
173,TOOK.20190620.SCHINDLER.3,TOOK,2019,0.0
174,TOOK.20190731.SCHINDLER.2,TOOK,2019,0.0
175,TOOK.20190910.TOWNET.1,TOOK,2019,0.0
176,TOOK.20200904.TOWNET.1,TOOK,2020,0.0
177,TOOK.20210708.TOWNET.1,TOOK,2021,0.0
178,TOOK.20210907.SCHINDLER.3,TOOK,2021,0.0
